University of Alabama,7,7,0
American University,4,3,1
Berkeley,6,3,0
Boston University,9,2,1
Brown University,10,2,1
California Polytechnic Institute and State University,3,3,2
California Institute of Technology,0,0,0
Carnegie Mellon,1,1,1
Case Western University,5,5,0
University of Chicago,9,0,0
Clemson University,10,6,0
Christopher Newport University,87,61,17
Columbia University,5,2,0
Cornell University,18,4,0
Dartmouth University,3,0,0
University of Delaware,14,11,3
Duke University,16,2,1
Elon University,6,6,1
Georgetown University,11,0,0
Georgia Institute of Technology,2,1,0
George Mason University,137,105,29
George Washington University,11,6,1
Harvard University,11,0,0
James Madison University,162,111,35
Johns Hopkins University,7,1,0
Longwood University,32,26,2
Louisiana State University,2,2,0
Mary Washington University,59,56,9
University of Maryland-College Park,11,9,2
Miami University,4,4,1
University of Michigan,9,3,2
Massachusetts Institute of Technology,3,0,0
North Carolina State University,2,2,0
Northeastern University,5,5,2
Northwestern University,4,1,0
Northern Virginia Community College,113,113,107
New York University,9,3,1
Old Dominion University,28,24,6
Penn State University,32,26,6
University of Pennsylvania,15,2,0
University of Pittsburg,18,15,0
Princeton University,8,0,0
Radford University,34,30,5
University of Richmond,11,4,0
South Carolina University,21,18,3
Stanford University,9,1,1
University of California-Los Angeles,2,0,0
North Carolina State University,23,4,0
University Southern California,7,3,0
University of Virginia,115,53,36
Virginia Commonwealth University,117,100,33
University Vermont,8,6,0
Virginia Military Institute,3,2,2
Virginia Polytechnic Institute and State University,153,110,51
Washington and Lee,6,1,0
West Virginia University,15,14,4
William and Mary,81,30,10
Yale University,7,1,0
