University of Alabama,8,8,1
American University,13,6,1
Berkeley,5,1,0
Boston University,17,8,1
Brown University,7,1,0
California Polytechnic Institute and State University,3,1,0
California Institute of Technology,1,0,0
Carnegie Mellon,13,0,0
Case Western University,5,1,0
University of Chicago,7,1,0
Clemson University,6,1,0
Christopher Newport University,67,41,8
Columbia University,13,1,0
Cornell University,14,1,0
Dartmouth University,7,0,0
University of Delaware,2,2,0
Duke University,12,1,0
Elon University,6,6,0
Georgetown University,10,2,2
Georgia Institute of Technology,3,1,0
George Mason University,141,101,29
George Washington University,19,9,1
Harvard University,9,1,1
James Madison University,135,92,31
Johns Hopkins University,11,0,0
Longwood University,22,19,2
Louisiana State University,5,5,1
Mary Washington University,52,37,6
University of Maryland-College Park,10,7,2
University of Miami,5,2,2
University of Michigan,12,1,0
Massachusetts Institute of Technology,3,0,0
North Carolina State University,13,6,0
Northeastern University,12,5,0
Northwestern University,13,2,1
Northern Virginia Community College,125,123,119
New York University,18,8,1
Old Dominion University,43,33,8
Pennsylvania State University,10,10,4
University of Pennsylvania,17,0,0
University of Pittsburg,4,2,1
Princeton University,7,0,0
Radford University,44,39,8
University of Richmond,13,4,1
University of South Carolina,15,9,3
Stanford University,6,0,0
University of California-Los Angeles,9,4,0
University of North Carolina,16,2,0
University Southern California,9,2,0
University of Virginia,104,39,27
Virginia Commonwealth University,130,111,43
University of Vermont,7,6,0
Virginia Military Institute,3,1,0
Virginia Polytechnic Institute and State University,158,79,30
Washington and Lee,3,0,0
West Virginia University,18,16,5
William and Mary,65,21,10
Yale University,10,2,2
